Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery,
"C1, C10, C11, C14, C15, C3",0805,6,10uf,
C12,0805,1,2.2nf,
"C13, R13",0805,2,470,
"C2, C5, C6, C8, C9",0805,5,0.1uf,
"C4, C7",0805,2,2.2uf,
"D1, D2",0805,2,LED_Small,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
J3,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,AudioJack3,
"R1, R11, R2",0805,3,5.1k,
R10,0805,1,1.2k,
"R12, R14, R5, R6, R7, R8, TH1",0805,7,10k,
"R3, R4",0805,2,1k,
R9,0805,1,0.4,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm_H4.3mm,4,SW_SPST,
SW5,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Nxxxx,1,RotaryEncoder,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
