Designator,Mid X,Mid Y,Rotation,Layer
A1,56.19,-95.08,0.0,top
BT1,114.67,-93.31,0.0,top
C1,95.99,-76.665,0.0,top
C10,155.805,-110.19,270.0,top
C11,132.545,-118.55,0.0,top
C12,101.7,-91.085,90.0,top
C13,103.89,-91.165,90.0,top
C14,133.785,-115.67,270.0,top
C15,129.685,-117.11,90.0,top
C2,87.97,-65.7825,270.0,top
C3,98.62,-91.295,180.0,top
C4,139.825,-109.35,90.0,top
C5,152.435,-110.25,270.0,top
C6,137.985,-115.67,90.0,top
C7,145.665,-115.96,0.0,top
C8,135.905,-115.67,90.0,top
C9,140.085,-115.67,90.0,top
D1,107.6575,-83.55,180.0,top
D2,107.6475,-81.45,180.0,top
J1,103.34,-62.5,180.0,top
J2,79.55,-64.4775,0.0,top
J3,153.58,-91.08,90.0,top
R1,106.6,-70.03,0.0,top
R10,95.25,-85.025,90.0,top
R11,98.66,-80.225,180.0,top
R12,95.1775,-82.305,180.0,top
R13,142.87,-85.28,270.0,top
R14,142.8875,-96.09,90.0,top
R2,100.21,-70.03,180.0,top
R3,107.67,-87.74,180.0,top
R4,107.6475,-85.67,180.0,top
R5,70.02,-62.8125,270.0,top
R6,70.04,-66.4425,90.0,top
R7,90.31,-63.785,270.0,top
R8,145.475,-106.18,0.0,top
R9,99.6775,-76.645,0.0,top
SW1,75.2,-98.72,180.0,top
SW2,29.42,-67.98,0.0,top
SW3,29.54,-91.09,0.0,top
SW4,29.3,-79.77,0.0,top
SW5,32.725,-109.9,180.0,top
TH1,98.6575,-82.315,180.0,top
U1,100.165,-86.165,270.0,top
U2,145.7225,-111.005,270.0,top
